DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.956933315497819
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,56.802769230769236
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.8922800803527319
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,59.586000000000006
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.8851515404162591
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,61.06753846153846
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.8569599416450523
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,61.136
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.853805529596548
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,62.58569230769231
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.8400020324209442
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,62.169999999999995
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.8297985936178409
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,63.524153846153844
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.8122410598287721
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,63.138000000000005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.8177182513828587
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,64.09938461538461
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.8071335952865414
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,63.392
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.8068562622569312
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,64.48338461538461
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.8079537473684253
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,63.176
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.7974753353217005
