DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,LOSS,1.8208802212524413
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,ACC1,32.558
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,VALID,LOSS,2.6278439571380616
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,VALID,ACC1,21.96
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,LOSS,1.306436685371399
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,ACC1,52.234
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,VALID,LOSS,2.077187168884277
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,VALID,ACC1,40.87
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,LOSS,1.1190895879745484
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,ACC1,59.836
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,VALID,LOSS,2.7416172889709474
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,VALID,ACC1,31.899999999999995
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,LOSS,1.0354571058273316
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,ACC1,63.044
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,VALID,LOSS,2.5334353015899658
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,VALID,ACC1,40.33
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,TRAIN,LOSS,0.9692124940872192
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,TRAIN,ACC1,65.474
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,VALID,LOSS,3.1932920284271242
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,VALID,ACC1,28.769999999999996
