DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,1,TRAIN,LOSS,0.5144953032084448
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,1,TRAIN,ACC1,81.27833333333334
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,1,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,1,VALID,LOSS,0.4233447996299153
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,1,VALID,ACC1,85.5
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,2,TRAIN,LOSS,0.45220048148493824
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,2,TRAIN,ACC1,84.35833333333333
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,2,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,2,VALID,LOSS,0.3656015934883695
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,2,VALID,ACC1,87.72368421052632
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,3,TRAIN,LOSS,0.43303859748598905
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,3,TRAIN,ACC1,85.25
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,3,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,3,VALID,LOSS,0.35506201762831874
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,3,VALID,ACC1,88.05263157894737
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,4,TRAIN,LOSS,0.42156295098918306
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,4,TRAIN,ACC1,85.6925
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,4,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,4,VALID,LOSS,0.3421663340932843
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,4,VALID,ACC1,88.31578947368422
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,5,TRAIN,LOSS,0.41711790717657005
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,5,TRAIN,ACC1,85.96083333333333
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,5,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,5,VALID,LOSS,0.32933995017801254
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,5,VALID,ACC1,88.71052631578948
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,6,TRAIN,LOSS,0.4117272005654846
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,6,TRAIN,ACC1,86.08083333333335
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,6,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,6,VALID,LOSS,0.31850039899047505
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,6,VALID,ACC1,89.27631578947368
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,7,TRAIN,LOSS,0.40703928870173434
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,7,TRAIN,ACC1,86.45416666666667
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,7,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,7,VALID,LOSS,0.3219687496492824
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,7,VALID,ACC1,88.82894736842105
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,8,TRAIN,LOSS,0.4067161000959531
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,8,TRAIN,ACC1,86.3225
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,8,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,8,VALID,LOSS,0.31586006334673217
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,8,VALID,ACC1,89.23684210526316
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,9,TRAIN,LOSS,0.40265835498670927
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,9,TRAIN,ACC1,86.43583333333333
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,9,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,9,VALID,LOSS,0.3106508988052662
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,9,VALID,ACC1,89.31578947368422
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,10,TRAIN,LOSS,0.3956825090798689
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,10,TRAIN,ACC1,86.65916666666666
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,10,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,10,VALID,LOSS,0.3070059953984332
agnews,rcnn,adagrad_l0.1_e10_w0_d0_a0,1,10,VALID,ACC1,89.52631578947368
