DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,TRAIN,LOSS,1.3608160314559936
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,TRAIN,ACC1,50.538
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,VALID,LOSS,1.3262075206756592
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,VALID,ACC1,54.06999999999999
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,TRAIN,LOSS,0.9780020008468628
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,TRAIN,ACC1,65.154
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,VALID,LOSS,1.2902212593078612
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,VALID,ACC1,58.71999999999999
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,TRAIN,LOSS,0.8192506792068481
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,TRAIN,ACC1,71.138
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,VALID,LOSS,1.2610809072494507
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,VALID,ACC1,61.559999999999995
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,TRAIN,LOSS,0.7128110396766663
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,TRAIN,ACC1,75.018
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,VALID,LOSS,0.8774473848342895
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,VALID,ACC1,70.34
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,5,TRAIN,LOSS,0.6276999478530884
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,5,TRAIN,ACC1,78.252
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,5,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,5,VALID,LOSS,1.0319240371704101
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,5,VALID,ACC1,69.95
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,6,TRAIN,LOSS,0.56317482817173
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,6,TRAIN,ACC1,80.43
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,6,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,6,VALID,LOSS,0.6838960000991822
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,6,VALID,ACC1,77.29
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,7,TRAIN,LOSS,0.5155380202102661
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,7,TRAIN,ACC1,82.30999999999999
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,7,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,7,VALID,LOSS,0.8595605540275574
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,7,VALID,ACC1,73.64
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,8,TRAIN,LOSS,0.4796945216560364
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,8,TRAIN,ACC1,83.502
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,8,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,8,VALID,LOSS,0.6059400177001953
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,8,VALID,ACC1,79.53
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,9,TRAIN,LOSS,0.44346539625167847
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,9,TRAIN,ACC1,84.538
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,9,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,9,VALID,LOSS,0.6067536632537842
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,9,VALID,ACC1,80.43
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,10,TRAIN,LOSS,0.4139481753540039
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,10,TRAIN,ACC1,85.732
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,10,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,10,VALID,LOSS,0.5502173527240753
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,10,VALID,ACC1,82.05
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,11,TRAIN,LOSS,0.3884752576828003
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,11,TRAIN,ACC1,86.546
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,11,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,11,VALID,LOSS,0.6027248132705688
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,11,VALID,ACC1,80.58
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,12,TRAIN,LOSS,0.3644051922607422
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,12,TRAIN,ACC1,87.41799999999999
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,12,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,12,VALID,LOSS,0.4947691545724869
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,12,VALID,ACC1,83.96000000000001
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,13,TRAIN,LOSS,0.34986023535728455
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,13,TRAIN,ACC1,87.81400000000001
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,13,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,13,VALID,LOSS,0.5643868984222412
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,13,VALID,ACC1,81.74
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,14,TRAIN,LOSS,0.3254045153236389
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,14,TRAIN,ACC1,88.786
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,14,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,14,VALID,LOSS,0.5413035896301269
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,14,VALID,ACC1,82.84
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,15,TRAIN,LOSS,0.30931370566368105
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,15,TRAIN,ACC1,89.364
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,15,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,15,VALID,LOSS,0.5192657304286957
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,15,VALID,ACC1,83.8
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,16,TRAIN,LOSS,0.2933365174198151
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,16,TRAIN,ACC1,89.842
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,16,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,16,VALID,LOSS,0.8978222631454468
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,16,VALID,ACC1,74.8
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,17,TRAIN,LOSS,0.2791357929611206
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,17,TRAIN,ACC1,90.34
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,17,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,17,VALID,LOSS,0.5060245223522186
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,17,VALID,ACC1,84.6
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,18,TRAIN,LOSS,0.26518880314826965
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,18,TRAIN,ACC1,90.79
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,18,HYPER,LR,0.0005
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,18,VALID,LOSS,0.5729587361335754
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,18,VALID,ACC1,82.89
