DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,1,TRAIN,LOSS,2.138886845779419
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,1,TRAIN,ACC1,22.519999999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,1,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,1,VALID,LOSS,2.3558053483963013
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,1,VALID,ACC1,25.587499999999995
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,2,TRAIN,LOSS,1.7830782678604127
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,2,TRAIN,ACC1,30.56
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,2,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,2,VALID,LOSS,2.0085357999801636
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,2,VALID,ACC1,27.375000000000004
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,3,TRAIN,LOSS,1.6597116083145143
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,3,TRAIN,ACC1,35.62
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,3,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,3,VALID,LOSS,1.5934671354293823
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,3,VALID,ACC1,37.387499999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,4,TRAIN,LOSS,1.5856449270248414
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,4,TRAIN,ACC1,38.92
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,4,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,4,VALID,LOSS,1.6540410680770874
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,4,VALID,ACC1,38.3625
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,5,TRAIN,LOSS,1.4990510488510131
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,5,TRAIN,ACC1,42.74
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,5,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,5,VALID,LOSS,1.4760120449066163
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,5,VALID,ACC1,44.962500000000006
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,6,TRAIN,LOSS,1.419369552230835
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,6,TRAIN,ACC1,46.519999999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,6,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,6,VALID,LOSS,1.4841052894592286
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,6,VALID,ACC1,44.66250000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,7,TRAIN,LOSS,1.3742902027130126
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,7,TRAIN,ACC1,48.199999999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,7,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,7,VALID,LOSS,1.4758761615753173
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,7,VALID,ACC1,46.762499999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,8,TRAIN,LOSS,1.3480832695007323
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,8,TRAIN,ACC1,49.8
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,8,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,8,VALID,LOSS,1.3197224140167236
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,8,VALID,ACC1,50.887499999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,9,TRAIN,LOSS,1.2855506008148194
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,9,TRAIN,ACC1,52.36000000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,9,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,9,VALID,LOSS,1.3351697340011597
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,9,VALID,ACC1,51.837500000000006
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,10,TRAIN,LOSS,1.237576312828064
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,10,TRAIN,ACC1,53.92
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,10,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,10,VALID,LOSS,1.2983967475891114
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,10,VALID,ACC1,52.37499999999999
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,11,TRAIN,LOSS,1.1636756713867187
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,11,TRAIN,ACC1,56.60000000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,11,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,11,VALID,LOSS,1.3014779810905457
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,11,VALID,ACC1,55.26249999999999
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,12,TRAIN,LOSS,1.1296975700378418
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,12,TRAIN,ACC1,58.42
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,12,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,12,VALID,LOSS,1.3616881952285766
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,12,VALID,ACC1,52.25
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,13,TRAIN,LOSS,1.0781241788864135
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,13,TRAIN,ACC1,60.02000000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,13,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,13,VALID,LOSS,1.2200462737083435
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,13,VALID,ACC1,57.875
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,14,TRAIN,LOSS,1.0407620543479918
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,14,TRAIN,ACC1,61.86000000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,14,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,14,VALID,LOSS,1.1110985560417175
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,14,VALID,ACC1,60.199999999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,15,TRAIN,LOSS,1.0403608337402344
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,15,TRAIN,ACC1,61.519999999999996
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,15,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,15,VALID,LOSS,1.1834937863349915
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,15,VALID,ACC1,57.63750000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,16,TRAIN,LOSS,1.0198806171417236
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,16,TRAIN,ACC1,62.4
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,16,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,16,VALID,LOSS,1.172209852218628
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,16,VALID,ACC1,58.175
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,17,TRAIN,LOSS,0.9518097003936767
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,17,TRAIN,ACC1,65.3
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,17,HYPER,LR,0.1001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,17,VALID,LOSS,1.1621142106056213
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,17,VALID,ACC1,59.575
