DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,1,TRAIN,LOSS,1.8162464561080933
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,1,TRAIN,ACC1,31.318
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,1,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,1,VALID,LOSS,2.016754181098938
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,1,VALID,ACC1,31.669999999999998
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,2,TRAIN,LOSS,1.4578036124420166
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,2,TRAIN,ACC1,45.98
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,2,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,2,VALID,LOSS,1.9921613723754883
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,2,VALID,ACC1,39.129999999999995
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,3,TRAIN,LOSS,1.2041956088066101
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,3,TRAIN,ACC1,56.236
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,3,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,3,VALID,LOSS,1.6749254695892335
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,3,VALID,ACC1,46.760000000000005
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,4,TRAIN,LOSS,1.0221314753341675
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,4,TRAIN,ACC1,63.108
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,4,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,4,VALID,LOSS,1.733568602180481
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,4,VALID,ACC1,47.25
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,5,TRAIN,LOSS,0.8816669527053833
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,5,TRAIN,ACC1,68.44399999999999
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,5,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,5,VALID,LOSS,1.915598593902588
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,5,VALID,ACC1,49.29
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,6,TRAIN,LOSS,0.7700201372623443
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,6,TRAIN,ACC1,72.65599999999999
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,6,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,6,VALID,LOSS,0.9932100057601929
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,6,VALID,ACC1,68.66
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,7,TRAIN,LOSS,0.6870697903823852
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,7,TRAIN,ACC1,75.854
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,7,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,7,VALID,LOSS,1.1395093024253846
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,7,VALID,ACC1,64.48
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,8,TRAIN,LOSS,0.6170867315483093
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,8,TRAIN,ACC1,78.46
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,8,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,8,VALID,LOSS,0.8941939589500427
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,8,VALID,ACC1,71.71000000000001
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,9,TRAIN,LOSS,0.5597916530227661
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,9,TRAIN,ACC1,80.516
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,9,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,9,VALID,LOSS,1.0842723304748536
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,9,VALID,ACC1,67.0
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,10,TRAIN,LOSS,0.5100128155899047
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,10,TRAIN,ACC1,82.4
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,10,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,10,VALID,LOSS,0.8421924171447754
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,10,VALID,ACC1,73.66
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,11,TRAIN,LOSS,0.4713537981414795
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,11,TRAIN,ACC1,83.8
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,11,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,11,VALID,LOSS,0.5475753920555114
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,11,VALID,ACC1,81.45
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,12,TRAIN,LOSS,0.4352356005001068
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,12,TRAIN,ACC1,84.96000000000001
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,12,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,12,VALID,LOSS,0.5657436996459961
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,12,VALID,ACC1,81.47
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,13,TRAIN,LOSS,0.4091768612861633
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,13,TRAIN,ACC1,85.74
