DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.8865408601743658
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,59.180461538461536
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,HYPER,LR,0.5
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.8555391247299693
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,ACC1,60.949999999999996
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.8204760479394387
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,63.37276923076923
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,HYPER,LR,0.5
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.8202170280333682
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,ACC1,62.608
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.7854067210881709
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,64.974
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,HYPER,LR,0.5
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.7979831891926711
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,ACC1,63.583999999999996
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.7602225895045113
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,65.99338461538463
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,HYPER,LR,0.5
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.7770158149747622
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,ACC1,64.104
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.7413500984169538
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,66.71046153846154
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,HYPER,LR,0.5
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.778420989025983
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,ACC1,64.402
