DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,1.017187839069212
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,62.274214285714294
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.9019774424757371
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,ACC1,65.87
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.9142466748023391
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,68.21292857142858
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.8601472493773019
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,ACC1,66.34333333333333
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.874657719752137
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,69.5825
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.8247280182499845
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,ACC1,67.84
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.8522510045625262
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,70.33642857142857
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.8093116973410421
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,ACC1,67.99
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.8377178101529599
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,70.77135714285714
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.7987391253817178
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,ACC1,69.03166666666667
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.8244703643302724
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,71.14935714285716
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.7822497091892381
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,ACC1,69.51499999999999
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.8142071979384587
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,71.37985714285715
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.7738898949474481
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,7,VALID,ACC1,70.23666666666666
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.8067510482830441
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,71.6485
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,VALID,LOSS,0.7657410433646235
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,8,VALID,ACC1,70.88
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,TRAIN,LOSS,0.8007772562467661
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,TRAIN,ACC1,71.852
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,VALID,LOSS,0.7632818279823501
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,9,VALID,ACC1,70.88499999999999
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,10,TRAIN,LOSS,0.79386033146298
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,10,TRAIN,ACC1,72.00264285714286
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,10,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,10,VALID,LOSS,0.7605317953818953
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,10,VALID,ACC1,70.81
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,11,TRAIN,LOSS,0.7899155917376833
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,11,TRAIN,ACC1,72.18742857142857
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,11,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,11,VALID,LOSS,0.764795771629717
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,11,VALID,ACC1,70.625
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,12,TRAIN,LOSS,0.784061703803529
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,12,TRAIN,ACC1,72.37878571428571
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,12,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,12,VALID,LOSS,0.7544654046716245
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,12,VALID,ACC1,71.00166666666668
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,13,TRAIN,LOSS,0.7803954090854492
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,13,TRAIN,ACC1,72.45114285714286
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,13,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,13,VALID,LOSS,0.750071213817859
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,13,VALID,ACC1,71.26833333333333
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,TRAIN,LOSS,0.7777014571500699
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,TRAIN,ACC1,72.59021428571428
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,HYPER,LR,0.5
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,VALID,LOSS,0.7517838853514538
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,VALID,ACC1,70.97666666666666
