DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.9334469583747524
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,67.38878571428572
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.8494288242758571
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,69.59500000000001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.8955935790837453
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,69.81150000000001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.7862737171166138
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,70.52000000000001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.8811628460414547
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,70.43021428571429
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.7768304851769993
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,70.72
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.8732095693260113
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,70.78507142857143
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.8033533761260194
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,69.255
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.8748495205926378
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,70.88457142857143
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.8095062853813142
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,68.325
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.8749399339661327
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,70.91842857142858
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.8402195707081919
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,67.56666666666666
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.877904872173813
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,71.024
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.8339828845586188
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,67.79333333333332
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.8791077063349082
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,71.014
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.8125547608812332
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,68.995
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,0.8856839721213108
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,70.99028571428572
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,LOSS,0.8609867144501738
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,ACC1,67.02666666666667
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,LOSS,0.8896780625968248
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,ACC1,70.86157142857144
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,LOSS,0.8682014627399722
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,ACC1,65.11166666666666
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,LOSS,0.8954931826413528
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,ACC1,70.84778571428572
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,VALID,LOSS,0.8918832814115837
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,VALID,ACC1,64.58999999999999
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,TRAIN,LOSS,0.8981138306586213
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,TRAIN,ACC1,70.81507142857143
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,VALID,LOSS,0.8688202657390152
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,VALID,ACC1,65.385
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,TRAIN,LOSS,0.9049264216415273
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,TRAIN,ACC1,70.70242857142857
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,VALID,LOSS,0.8805060117361688
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,VALID,ACC1,65.16166666666668
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,TRAIN,LOSS,0.907998500537814
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,TRAIN,ACC1,70.64728571428572
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,VALID,LOSS,0.8755354116146165
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,VALID,ACC1,66.55333333333333
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,TRAIN,LOSS,0.918821892568209
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,TRAIN,ACC1,70.5445
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,VALID,LOSS,0.887483767995444
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,VALID,ACC1,66.19999999999999
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,TRAIN,LOSS,0.9137513653781512
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,TRAIN,ACC1,70.50235714285714
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,VALID,LOSS,0.8708609114589256
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,VALID,ACC1,66.125
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,17,TRAIN,LOSS,0.9252395808184575
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,17,TRAIN,ACC1,70.3755
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,17,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,17,VALID,LOSS,0.8729682313306962
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,17,VALID,ACC1,67.76333333333334
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,18,TRAIN,LOSS,0.9291313174540782
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,18,TRAIN,ACC1,70.24264285714285
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,18,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,18,VALID,LOSS,0.8669456385967957
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,18,VALID,ACC1,67.56
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,19,TRAIN,LOSS,0.9369202292437675
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,19,TRAIN,ACC1,70.17564285714286
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,19,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,19,VALID,LOSS,0.8662001864470973
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,19,VALID,ACC1,67.965
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,20,TRAIN,LOSS,0.9359961392168765
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,20,TRAIN,ACC1,69.97385714285714
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,20,HYPER,LR,0.001
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,20,VALID,LOSS,0.888704859905115
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,20,VALID,ACC1,65.21833333333333
