DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.1190869645664787
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,61.31837230571823
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.4893153031764766
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,84.01582667486171
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.4126574271961849
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,87.11385942640294
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.38143471137064694
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,88.17609096496619
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.33027452204864594
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,89.92451233329238
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.3342258728349143
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,90.11216963736939
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.2833371145021014
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.59534242461471
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.24475068607686412
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,92.98555623847572
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.2546334689566978
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,92.49355010442687
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.24636817300839883
