DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.9067045679106922
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,58.813384615384614
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.8956337184800431
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,59.227999999999994
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.8326749186258028
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,62.96046153846153
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.8771197072220155
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,60.5
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.7985541125622396
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,64.53323076923077
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.8110673143171557
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,62.93599999999999
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.776090758260469
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,65.48369230769231
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.8010065209535392
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,63.524
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.7598759282279308
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,66.08923076923077
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.7895302662063579
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,64.04799999999999
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.7478950554074711
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,66.51076923076923
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.7775201510896456
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,64.594
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.7376374207313577
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,66.90630769230769
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.7805113745546279
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,VALID,ACC1,64.70400000000001
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.7291260191741507
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,67.21092307692308
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.7723244006242607
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,VALID,ACC1,65.00399999999999
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.7201588779475885
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,67.57846153846154
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.7698580046060782
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,VALID,ACC1,65.28
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.7147974987863666
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,ACC1,67.77646153846155
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,VALID,LOSS,0.762015050644282
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,VALID,ACC1,65.63399999999999
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.7085988441005796
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,ACC1,68.00015384615385
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,VALID,LOSS,0.7637310520082724
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,VALID,ACC1,65.52
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.7022342257310003
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,ACC1,68.20461538461538
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,HYPER,LR,0.0005
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,VALID,LOSS,0.7636750794066226
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,VALID,ACC1,65.676
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.6977304674280947
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,13,TRAIN,ACC1,68.42415384615384
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,13,HYPER,LR,0.0005
