DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.36400910197301584
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,86.71583333333334
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.5119041023297446
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,79.6842105263158
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.281619057953834
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,90.61749999999999
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.46334214104637017
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,79.40789473684211
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.250592448043244
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,91.46916666666667
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.47098097913739606
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,79.05263157894737
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.22867114492740992
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,92.13416666666667
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.40368067860751283
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,83.48684210526316
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.2118278863539071
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,92.69416666666666
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.37540968451574613
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,84.67105263157895
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.19785081004615626
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,93.24416666666666
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.3518749923086916
