DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,1.3513227394730556
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,52.93419058929523
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,0.5347286716662233
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,82.460049170252
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,0.42793721325696227
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,86.72481810611956
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.37163972149396424
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,88.87138905961893
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.331245282709518
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,89.96955922300941
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.37612038127249126
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,88.4257836508912
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.2840310644575485
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,91.4752173853693
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.2403527371489203
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,93.06238475722188
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.25527513663862533
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,92.46624895914384
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
