DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,2.136701468658447
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,22.140000000000004
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.09999999748104214
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,2.585816795349121
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,25.7
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,1.7941723104476928
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,29.500000000000004
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.09999999676559407
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,1.7725608463287355
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,31.85
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,1.669055096054077
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,34.81999999999999
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.09999999584694064
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,1.6289519844055176
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,36.0
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,1.5939900094985961
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,38.54
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.0999999946673663
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,1.5706281080245972
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,40.25
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,1.5079012184143066
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,42.900000000000006
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.09999999315276287
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,1.4980605497360229
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,43.512499999999996
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,1.4242665639877319
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,46.02
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.09999999120797368
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,1.5077034111022949
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,43.89999999999999
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,1.3760402187347411
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,47.81999999999999
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.099999988710815
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,1.5369379339218139
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,45.175
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,1.3541236310958862
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,49.46
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.09999998550439998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,1.4091893372535707
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,48.95
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,1.28627098197937
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,52.7
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.09999998138728193
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,1.296293070793152
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,51.95000000000001
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,1.2477128721237183
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,53.14
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.09999997610079817
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,1.3302146043777465
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,50.78750000000001
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,LOSS,1.17451404838562
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,ACC1,55.919999999999995
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,HYPER,LR,0.0999999693128195
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,LOSS,1.3168975934982299
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,ACC1,54.974999999999994
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,LOSS,1.1393289039611816
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,ACC1,58.02
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,HYPER,LR,0.09999996059688371
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,VALID,LOSS,1.3342982597351074
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,VALID,ACC1,53.2125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,TRAIN,LOSS,1.0911168586730957
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,TRAIN,ACC1,59.519999999999996
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,HYPER,LR,0.09999994940540285
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,VALID,LOSS,1.2079410972595215
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,VALID,ACC1,57.15
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,14,TRAIN,LOSS,1.0729116367340088
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,14,TRAIN,ACC1,59.88
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,14,HYPER,LR,0.09999993503526065
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,14,VALID,LOSS,1.0875680589675902
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,14,VALID,ACC1,60.612500000000004
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,15,TRAIN,LOSS,1.0511127784729004
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,15,TRAIN,ACC1,62.040000000000006
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,15,HYPER,LR,0.09999991658363887
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,15,VALID,LOSS,1.2063323745727539
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,15,VALID,ACC1,57.137499999999996
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,16,TRAIN,LOSS,1.046756265258789
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,16,TRAIN,ACC1,61.7
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,16,HYPER,LR,0.09999989289129751
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,16,VALID,LOSS,1.153645763874054
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,16,VALID,ACC1,58.72500000000001
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,17,TRAIN,LOSS,0.9855138841629029
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,17,TRAIN,ACC1,63.35999999999999
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,17,HYPER,LR,0.09999986246974552
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,17,VALID,LOSS,1.1296640462875367
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,17,VALID,ACC1,59.8375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,18,TRAIN,LOSS,0.9582356704711914
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,18,TRAIN,ACC1,65.48
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,18,HYPER,LR,0.09999982340772666
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,18,VALID,LOSS,1.2802553005218507
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,18,VALID,ACC1,58.137499999999996
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,19,TRAIN,LOSS,0.8887865625381469
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,19,TRAIN,ACC1,67.32000000000001
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,19,HYPER,LR,0.09999977325114637
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,19,VALID,LOSS,1.1553179082870484
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,19,VALID,ACC1,61.349999999999994
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,20,TRAIN,LOSS,0.8712358560562133
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,20,TRAIN,ACC1,67.54
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,20,HYPER,LR,0.09999970884889621
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,20,VALID,LOSS,1.2972069988250732
