DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.3766789019035123
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,87.39166666666667
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.50667723846229
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,82.09210526315789
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.31048022101590983
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,90.17916666666666
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.33146104697131906
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,87.82894736842105
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.27971299763066
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,91.29666666666667
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.29965855565894306
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,89.22368421052632
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.2587279453541313
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,92.03916666666667
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.39652222140522553
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,87.14473684210526
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.24278299446808538
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,92.63166666666666
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.28940382160215183
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,90.11842105263158
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.22526592328972955
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,93.20916666666666
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.28009942881701333
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,90.93421052631578
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.2116183037211418
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,93.62666666666667
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.2845956559919324
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,90.40789473684211
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.1970913641953554
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,94.2375
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.2624068859970774
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,91.23684210526316
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,0.18686839007007403
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,94.55083333333333
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,LOSS,0.2855673670287529
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,ACC1,90.52631578947368
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,LOSS,0.17831115181069407
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,ACC1,94.92416666666666
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,LOSS,0.2721679975183213
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,ACC1,91.3157894736842
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,LOSS,0.16993388757732006
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,ACC1,95.27250000000001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,VALID,LOSS,0.2955481122124309
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,VALID,ACC1,90.5
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,TRAIN,LOSS,0.16270995585542272
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,TRAIN,ACC1,95.525
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,VALID,LOSS,0.28186281011249026
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,VALID,ACC1,91.01315789473684
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,TRAIN,LOSS,0.15479344603559791
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,TRAIN,ACC1,95.77666666666667
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,VALID,LOSS,0.31880352389071764
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,VALID,ACC1,90.1842105263158
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,TRAIN,LOSS,0.1474606316361898
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,TRAIN,ACC1,96.06583333333334
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,VALID,LOSS,0.29628054951023425
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,VALID,ACC1,90.5657894736842
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,TRAIN,LOSS,0.1429096105473531
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,TRAIN,ACC1,96.26583333333333
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,HYPER,LR,0.001
