DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,3.990241433868408
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,9.392
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.09999938544109836
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,LOSS,3.6275614250183104
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,ACC1,13.309999999999999
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,3.2876587385559084
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,19.418000000000003
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.09999926424030404
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,LOSS,2.9240413391113282
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,ACC1,26.639999999999997
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,2.6805235335540774
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,30.532000000000004
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.0999991191369951
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,LOSS,2.6985993618011475
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,ACC1,32.13
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,2.2810755575561523
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,39.056000000000004
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.09999894541734802
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,LOSS,2.241245188522339
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,ACC1,40.510000000000005
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,2.0124856645965576
cifar100,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,44.86
