DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,TRAIN,LOSS,2.4379988275146482
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,TRAIN,ACC1,11.663999999999996
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,VALID,LOSS,2.047136745262146
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,VALID,ACC1,17.410000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,TRAIN,LOSS,1.8627672073364259
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,TRAIN,ACC1,27.41
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,VALID,LOSS,1.5717650440216064
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,VALID,ACC1,42.15
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,TRAIN,LOSS,1.465566107788086
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,TRAIN,ACC1,45.628
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,VALID,LOSS,1.5534746227264404
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,VALID,ACC1,47.81999999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,TRAIN,LOSS,1.191052953567505
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,TRAIN,ACC1,56.952000000000005
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,VALID,LOSS,1.0989785955429077
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,VALID,ACC1,60.49
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,TRAIN,LOSS,1.0393443458557128
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,TRAIN,ACC1,62.854
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,VALID,LOSS,1.1665220184326173
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,VALID,ACC1,60.84
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,TRAIN,LOSS,0.9343793579864502
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,TRAIN,ACC1,67.02799999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,VALID,LOSS,1.0454345447540283
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,VALID,ACC1,63.959999999999994
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,TRAIN,LOSS,0.8423091410446167
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,TRAIN,ACC1,70.604
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,HYPER,LR,0.01
