DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,1.478391525564041
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,37.24215384615385
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.049999999999252524
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,1.350669235649447
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,41.226
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,1.199954459818704
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,46.51646153846154
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.04969217827160052
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,1.0812306541080905
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,45.594
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,1.1599090807928396
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,48.47092307692308
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.04877635316626036
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,1.3303560068746676
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,35.718
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,1.0860030735474493
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,50.93492307692308
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.04727507533677477
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,1.128636351622454
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,40.49
