DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.38690671298547297
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,86.61916666666667
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.38623177222084376
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,86.26315789473684
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.3133911025645272
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,89.93333333333334
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.39809963361964906
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,86.4342105263158
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.28785536352152075
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,90.68
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.3443344195763092
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,87.3421052631579
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.26951805225170283
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.225
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.3097328624144961
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,89.23684210526316
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.2538357392023338
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,91.81
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.3174474456680328
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,89.17105263157895
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.239626495922767
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,92.2025
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.3402552092824105
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,87.80263157894737
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.22836725209163844
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,92.63083333333333
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.30213601890344716
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,VALID,ACC1,89.15789473684211
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.2168159431406723
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,92.9675
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.2995731770899083
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,VALID,ACC1,89.82894736842105
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.20617782428931483
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,93.40166666666667
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.2931457236061063
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,VALID,ACC1,89.6842105263158
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.19497433593286098
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,ACC1,93.77250000000001
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,VALID,LOSS,0.3098925062460948
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,VALID,ACC1,89.48684210526315
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.18833524102801302
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,ACC1,94.03666666666666
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,VALID,LOSS,0.3186865490614196
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,11,VALID,ACC1,89.46052631578947
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.18059613592993692
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,ACC1,94.28583333333333
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,12,VALID,LOSS,0.2971368625551204
