DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.8460429458954853
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,61.15092307692307
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.8246403810118111
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,62.512
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.7770035982775042
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,65.05476923076922
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.8024479425446868
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,63.397999999999996
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.7495176398041361
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,66.40261538461539
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.7919146948983754
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,63.870000000000005
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.7310077774469936
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,67.14815384615385
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.7936747526708453
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,63.653999999999996
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.7191354180279085
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,67.71307692307693
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.7850653003727883
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,64.21
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.7081234513925784
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,68.09661538461538
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.7736045751089695
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,64.64
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.7000897521284216
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,68.44753846153846
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.7819135929069864
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,63.894000000000005
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.6925239835021989
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,68.75953846153845
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.7842457198723957
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,64.524
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,0.6869319316665001
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,69.11153846153846
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,HYPER,LR,0.001
