DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,1,TRAIN,LOSS,1.6935070078659058
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,1,TRAIN,ACC1,37.746
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,1,HYPER,LR,0.5
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,1,VALID,LOSS,2.188745710372925
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,1,VALID,ACC1,30.759999999999998
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,2,TRAIN,LOSS,1.046542118282318
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,2,TRAIN,ACC1,62.73800000000001
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,2,HYPER,LR,0.5
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,2,VALID,LOSS,1.2964669202804566
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,2,VALID,ACC1,58.69
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,3,TRAIN,LOSS,0.7649629608917237
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,3,TRAIN,ACC1,73.234
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,3,HYPER,LR,0.5
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,3,VALID,LOSS,2.04464559173584
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,3,VALID,ACC1,52.08999999999999
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,4,TRAIN,LOSS,0.6251494858169556
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,4,TRAIN,ACC1,78.432
