DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,TRAIN,LOSS,5.778871138000488
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,TRAIN,ACC1,10.560000000000002
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,VALID,LOSS,7.60721842956543
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,TRAIN,LOSS,2.440437135314941
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,TRAIN,ACC1,13.060000000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,VALID,LOSS,2.462509016036987
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,TRAIN,LOSS,2.277728335189819
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,TRAIN,ACC1,12.760000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,VALID,LOSS,38.430983627319335
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,TRAIN,LOSS,2.2611185279846193
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,TRAIN,ACC1,13.539999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,VALID,LOSS,3.414501979827881
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,TRAIN,LOSS,2.1178636894226073
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,TRAIN,ACC1,17.14
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,VALID,LOSS,3.7329919376373293
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,VALID,ACC1,17.1875
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,TRAIN,LOSS,2.036279959869385
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,TRAIN,ACC1,18.200000000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,VALID,LOSS,24.119193634033202
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,TRAIN,LOSS,1.9353626680374145
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,TRAIN,ACC1,22.540000000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,VALID,LOSS,6.297683029174805
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,VALID,ACC1,17.562500000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,8,TRAIN,LOSS,1.9604963218688964
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,8,TRAIN,ACC1,23.019999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,8,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,8,VALID,LOSS,3.7323643932342527
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,8,VALID,ACC1,11.7375
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,9,TRAIN,LOSS,1.8369336196899415
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,9,TRAIN,ACC1,26.180000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,9,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,9,VALID,LOSS,9.448924236297607
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,9,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,10,TRAIN,LOSS,1.887441061782837
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,10,TRAIN,ACC1,24.580000000000002
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,10,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,10,VALID,LOSS,57.56603677368164
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,10,VALID,ACC1,16.95
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,11,TRAIN,LOSS,1.8886804637908936
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,11,TRAIN,ACC1,25.760000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,11,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,11,VALID,LOSS,16.33714324951172
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,11,VALID,ACC1,10.012500000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,12,TRAIN,LOSS,1.8753217132568358
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,12,TRAIN,ACC1,26.060000000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,12,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,12,VALID,LOSS,7.1555355987548825
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,12,VALID,ACC1,10.950000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,13,TRAIN,LOSS,1.8355109569549561
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,13,TRAIN,ACC1,26.339999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,13,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,13,VALID,LOSS,12.824432945251464
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,13,VALID,ACC1,10.450000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,14,TRAIN,LOSS,1.8257446811676026
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,14,TRAIN,ACC1,26.359999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,14,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,14,VALID,LOSS,8.201853771209716
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,14,VALID,ACC1,17.1625
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,15,TRAIN,LOSS,1.7964128215789794
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,15,TRAIN,ACC1,27.159999999999997
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,15,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,15,VALID,LOSS,34.761493011474606
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,15,VALID,ACC1,10.087500000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,16,TRAIN,LOSS,1.8935875343322754
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,16,TRAIN,ACC1,26.880000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,16,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,16,VALID,LOSS,2.5232493829727174
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,16,VALID,ACC1,16.287499999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,17,TRAIN,LOSS,1.7874832586288452
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,17,TRAIN,ACC1,27.0
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,17,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,17,VALID,LOSS,4.670945323944092
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,17,VALID,ACC1,10.562499999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,18,TRAIN,LOSS,1.7750526962280273
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,18,TRAIN,ACC1,27.180000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,18,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,18,VALID,LOSS,7.880024570465088
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,18,VALID,ACC1,10.337499999999999
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,19,TRAIN,LOSS,1.8341711811065673
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,19,TRAIN,ACC1,26.639999999999997
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,19,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,19,VALID,LOSS,309.6744727783203
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,19,VALID,ACC1,9.999999999999998
