DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.3552774034755858
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,86.30583333333334
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.4244539498438636
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,ACC1,82.96052631578948
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.2491958985404258
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,91.33666666666667
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.4525278442084447
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,ACC1,82.30263157894737
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.21563070612977947
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,92.50666666666667
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.34229472224030105
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,ACC1,87.42105263157895
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.1963000703372026
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,93.13833333333334
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.30154332757332675
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,ACC1,88.61842105263158
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.17757727570004725
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,93.77583333333334
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.34849901059779326
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,ACC1,87.80263157894737
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.16383703276589487
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,94.21083333333333
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,6,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.29307732573614015
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,ACC1,89.78947368421053
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.149984822523481
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,94.72
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,7,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.3677062898254912
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,7,VALID,ACC1,88.47368421052632
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.13920705048211704
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,95.10666666666665
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,8,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,8,VALID,LOSS,0.4224484969245245
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,8,VALID,ACC1,87.9342105263158
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,9,TRAIN,LOSS,0.13064488433360727
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,9,TRAIN,ACC1,95.42333333333333
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,9,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,9,VALID,LOSS,0.3103668206979406
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,9,VALID,ACC1,89.9342105263158
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,10,TRAIN,LOSS,0.1247718859813748
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,10,TRAIN,ACC1,95.59083333333334
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,10,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,10,VALID,LOSS,0.32918790366403067
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,10,VALID,ACC1,89.78947368421053
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,11,TRAIN,LOSS,0.11599678239420766
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,11,TRAIN,ACC1,95.92333333333333
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,11,HYPER,LR,0.5
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,11,VALID,LOSS,0.39100556216363774
