DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,TRAIN,LOSS,1.823214748840332
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,TRAIN,ACC1,32.572
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,VALID,LOSS,2.022977135467529
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,VALID,ACC1,28.449999999999996
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,TRAIN,LOSS,1.3120586972808839
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,TRAIN,ACC1,52.06999999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,VALID,LOSS,14.11465611114502
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,VALID,ACC1,12.270000000000003
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,TRAIN,LOSS,1.1024995927619934
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,TRAIN,ACC1,60.534
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,VALID,LOSS,3.0059581565856934
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,VALID,ACC1,34.68
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,TRAIN,LOSS,1.031623702545166
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,TRAIN,ACC1,63.378
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,VALID,LOSS,2.1783772338867187
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,VALID,ACC1,31.810000000000006
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,TRAIN,LOSS,0.9771275530624389
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,TRAIN,ACC1,65.15599999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,VALID,LOSS,3.330473785018921
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,VALID,ACC1,32.42
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,6,TRAIN,LOSS,0.9303575149154663
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,6,TRAIN,ACC1,66.85600000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,6,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,6,VALID,LOSS,1.910303786468506
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,6,VALID,ACC1,48.550000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,7,TRAIN,LOSS,0.8912392221832275
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,7,TRAIN,ACC1,68.26
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,7,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,7,VALID,LOSS,2.1066873425483705
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,7,VALID,ACC1,45.04
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,8,TRAIN,LOSS,0.8650462908554077
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,8,TRAIN,ACC1,69.388
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,8,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,8,VALID,LOSS,2.327647512817383
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,8,VALID,ACC1,46.730000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,9,TRAIN,LOSS,0.8350318508911133
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,9,TRAIN,ACC1,70.36
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,9,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,9,VALID,LOSS,2.8122605003356935
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,9,VALID,ACC1,40.87
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,10,TRAIN,LOSS,0.8162358145141602
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,10,TRAIN,ACC1,71.57
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,10,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,10,VALID,LOSS,2.108209731864929
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,10,VALID,ACC1,48.17
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,11,TRAIN,LOSS,0.7992282818031311
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,11,TRAIN,ACC1,72.13000000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,11,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,11,VALID,LOSS,1.8394731098175048
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,11,VALID,ACC1,48.919999999999995
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,12,TRAIN,LOSS,0.7868832699584961
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,12,TRAIN,ACC1,72.292
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,12,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,12,VALID,LOSS,1.661467343711853
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,12,VALID,ACC1,50.59
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,13,TRAIN,LOSS,0.7787322334480286
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,13,TRAIN,ACC1,72.786
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,13,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,13,VALID,LOSS,4.4619587181091305
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,13,VALID,ACC1,30.279999999999994
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,14,TRAIN,LOSS,0.7642063028526306
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,14,TRAIN,ACC1,73.432
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,14,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,14,VALID,LOSS,4.579867170715332
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,14,VALID,ACC1,27.200000000000003
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,15,TRAIN,LOSS,0.7573475289058685
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,15,TRAIN,ACC1,73.5
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,15,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,15,VALID,LOSS,1.3174007796287537
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,15,VALID,ACC1,58.76
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,16,TRAIN,LOSS,0.753279542427063
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,16,TRAIN,ACC1,73.724
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,16,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,16,VALID,LOSS,4.0261473487854005
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,16,VALID,ACC1,35.07
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,17,TRAIN,LOSS,0.7517471093559265
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,17,TRAIN,ACC1,73.59599999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,17,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,17,VALID,LOSS,1.8478274738311768
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,17,VALID,ACC1,50.38
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,18,TRAIN,LOSS,0.7432587494087219
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,18,TRAIN,ACC1,73.892
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,18,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,18,VALID,LOSS,2.8578104343414306
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,18,VALID,ACC1,45.4
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,19,TRAIN,LOSS,0.7451159308433533
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,19,TRAIN,ACC1,74.15
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,19,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,19,VALID,LOSS,2.2547957761764525
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,19,VALID,ACC1,52.970000000000006
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,20,TRAIN,LOSS,0.7421686214065552
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,20,TRAIN,ACC1,74.054
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,20,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,20,VALID,LOSS,1.324152446937561
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,20,VALID,ACC1,56.02
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,21,TRAIN,LOSS,0.7355196377944946
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,21,TRAIN,ACC1,74.25399999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,21,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,21,VALID,LOSS,2.1542867038726805
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,21,VALID,ACC1,40.53
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,22,TRAIN,LOSS,0.7304670060539246
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,22,TRAIN,ACC1,74.58
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,22,HYPER,LR,0.01
