DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,1,TRAIN,LOSS,2.020253084564209
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,1,TRAIN,ACC1,24.080000000000002
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,1,HYPER,LR,0.04999999999990567
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,1,VALID,LOSS,2.112342851638794
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,1,VALID,ACC1,24.987499999999997
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,2,TRAIN,LOSS,1.79077740650177
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,2,TRAIN,ACC1,30.259999999999998
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,2,HYPER,LR,0.04999999999987266
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,2,VALID,LOSS,2.3607079458236693
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,2,VALID,ACC1,22.799999999999997
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,3,TRAIN,LOSS,1.6866521472930909
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,3,TRAIN,ACC1,34.81999999999999
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,3,HYPER,LR,0.04999999999982812
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,3,VALID,LOSS,1.8768750925064086
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,3,VALID,ACC1,29.225
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,4,TRAIN,LOSS,1.6061740739822388
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,4,TRAIN,ACC1,37.86000000000001
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,4,HYPER,LR,0.04999999999976798
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,4,VALID,LOSS,1.6376380252838134
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,4,VALID,ACC1,37.525
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,5,TRAIN,LOSS,1.5040594932556153
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,5,TRAIN,ACC1,42.6
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,5,HYPER,LR,0.049999999999686795
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,5,VALID,LOSS,1.5424328899383546
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,5,VALID,ACC1,43.15
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,6,TRAIN,LOSS,1.4359718019485475
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,6,TRAIN,ACC1,45.699999999999996
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,6,HYPER,LR,0.04999999999957723
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,6,VALID,LOSS,1.6220425910949707
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,6,VALID,ACC1,40.425
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,7,TRAIN,LOSS,1.377368684387207
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,7,TRAIN,ACC1,48.08
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,7,HYPER,LR,0.04999999999942931
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,7,VALID,LOSS,1.8837942714691163
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,7,VALID,ACC1,40.43750000000001
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,8,TRAIN,LOSS,1.33672173576355
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,8,TRAIN,ACC1,50.4
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,8,HYPER,LR,0.049999999999229654
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,8,VALID,LOSS,1.4625525159835815
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,8,VALID,ACC1,46.3625
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,9,TRAIN,LOSS,1.2783476108551026
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,9,TRAIN,ACC1,52.52
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,9,HYPER,LR,0.04999999999896015
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,9,VALID,LOSS,1.6647148885726928
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,9,VALID,ACC1,41.925000000000004
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,10,TRAIN,LOSS,1.225144592666626
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nt_a30_b0.9,1,10,TRAIN,ACC1,54.120000000000005
